yr,impd,> 1200 ac,FWD observed,FWD,FWD100
2015,Clinton Reservoir,yes,201,1,1
2015,El Dorado Reservoir,yes,309,1,1
2015,Hillsdale Reservoir,yes,24,1,0
2015,Lovewell Reservoir,yes,927,1,1
2016,LaCygne Reservoir,yes,52,1,0
2016,Melvern Reservoir,yes,54,1,0
2016,Perry Reservoir,yes,74,1,1
2016,Sebelius Reservoir,yes,460,1,0
2016,Wilson Reservoir,yes,86,1,0
2017,Clinton Reservoir,yes,24,1,1
2017,Council Grove Reservoir,yes,377,1,0
2017,Hillsdale Reservoir,yes,9,1,0
2017,Kanopolis Reservoir,yes,48,1,0
2017,LaCygne Reservoir,yes,1,1,0
2017,Webster Reservoir,yes,57,1,0
2018,Big Hill Reservoir,yes,1,1,0
2018,Cedar Bluff Reservoir,yes,23,1,0
2018,El Dorado Reservoir,yes,222,1,1
2018,Kirwin Reservoir,yes,356,1,1
2018,Milford Reservoir,yes,144,1,1
2018,Pomona Reservoir,yes,37,1,0
2022,Cedar Bluff Reservoir,yes,80,1,0
2022,Glen Elder Reservoir,yes,623,1,1
2022,Kanopolis Reservoir,yes,477,1,1
2022,Marion Reservoir,yes,295,1,1
2022,Milford Reservoir,yes,505,1,1
2022,Webster Reservoir,yes,156,1,1
2015,CLINTON RESERVOIR STILLING BASIN,no,0,0,0
2015,ELDP-BLUESTEM POINT POND,no,0,0,0
2015,KANOPOLIS SEEP STREAM,no,0,0,0
2015,LEAVENWORTH STATE FISHING LAKE,no,0,0,0
2015,MONTGOMERY STATE FISHING LAKE,no,0,0,0
2015,Olpe City Lake,no,0,0,0
2015,Scott State Fishing Lake,no,0,0,0
2015,WILSON STATE FISHING LAKE,no,0,0,0
2016,GEARY STATE FISHING LAKE,no,0,0,0
2016,Horsethief Reservoir,no,0,0,0
2016,KANOPOLIS SEEP STREAM,no,0,0,0
2016,Melvern Reservoir Stilling Basin,no,0,0,0
2016,Middle Creek State Fishing Lake,no,0,0,0
2016,MONTGOMERY STATE FISHING LAKE,no,0,0,0
2016,PERRY STILLING BASIN,no,0,0,0
2016,SHAWNEE STATE FISHING LAKE,no,0,0,0
2016,WILSON STATE FISHING LAKE,no,0,0,0
2017,CLINTON RESERVOIR STILLING BASIN,no,0,0,0
2017,COUNCIL GROVE STILLING BASIN,no,0,0,0
2017,Jewell City Lake - Emerson Lake,no,0,0,0
2017,Jewell State Fishing Lake,no,0,0,0
2017,POTTAWATOMIE SFL #1,no,0,0,0
2018,(FISH) MC  CO - LAROCQUE POND,no,0,0,0
2018,(FISH) MC CO-SCOGGAN POND,no,0,0,0
2018,Jewell City Lake - Emerson Lake,no,0,0,0
2018,Kiowa State Fishing Lake,no,0,0,0
2018,McPherson State Fishing Lake,no,0,0,0
2018,OTTAWA STATE FISHING LAKE,no,0,0,0
2018,POMONA STILLING BASIN,no,0,0,0
2022,Fort Scott City Lake,no,0,0,0
2022,Glen Elder Reservoir Outlet,no,0,0,0
2022,Glen Elder State Park Pond,no,0,0,0
2022,GLEN ELDER STILLING BASIN,no,0,0,0
2022,MOUND CITY LAKE,no,0,0,0
2022,ROOKS STATE LAKE,no,0,0,0
