impd,spp,mll,u,ypr,spr
Glen Elder,FWD,8,0.02,0.097543393,0.79638003
Glen Elder,FWD,8,0.04,0.167206688,0.63700495
Glen Elder,FWD,8,0.06,0.216674699,0.511627861
Glen Elder,FWD,8,0.08,0.2514456,0.412495892
Glen Elder,FWD,8,0.1,0.275469475,0.333723981
Glen Elder,FWD,8,0.12,0.29159832,0.270828097
Glen Elder,FWD,8,0.14,0.301903048,0.220377313
Glen Elder,FWD,8,0.16,0.30789686,0.179734353
Glen Elder,FWD,8,0.18,0.310692849,0.146861941
Glen Elder,FWD,8,0.2,0.31111544,0.120178064
Glen Elder,FWD,8,0.22,0.309779437,0.098447569
Glen Elder,FWD,8,0.24,0.30714634,0.080700782
Glen Elder,FWD,8,0.26,0.303564677,0.066172228
Glen Elder,FWD,8,0.28,0.299299069,0.054254312
Glen Elder,FWD,8,0.3,0.294551326,0.044462174
Glen Elder,FWD,8,0.32,0.289475871,0.036406911
Glen Elder,FWD,8,0.34,0.284191125,0.02977505
Glen Elder,FWD,8,0.36,0.278787959,0.024312761
Glen Elder,FWD,8,0.38,0.273336037,0.019813623
Glen Elder,FWD,8,0.4,0.267888617,0.016109108
Glen Elder,FWD,8,0.42,0.262486196,0.013061133
Glen Elder,FWD,8,0.44,0.257159318,0.01055619
Glen Elder,FWD,8,0.46,0.251930735,0.008500701
Glen Elder,FWD,8,0.48,0.246817092,0.006817331
Glen Elder,FWD,8,0.5,0.241830234,0.005442022
Glen Elder,FWD,14,0.02,0.090051711,0.837986006
Glen Elder,FWD,14,0.04,0.159321946,0.70609755
Glen Elder,FWD,14,0.06,0.212927155,0.598125019
Glen Elder,FWD,14,0.08,0.254654043,0.509221127
Glen Elder,FWD,14,0.1,0.287314568,0.435592703
Glen Elder,FWD,14,0.12,0.313005698,0.374262793
Glen Elder,FWD,14,0.14,0.333299195,0.322887148
Glen Elder,FWD,14,0.16,0.349380142,0.279612734
Glen Elder,FWD,14,0.18,0.362148039,0.242968644
Glen Elder,FWD,14,0.2,0.372290597,0.211781963
Glen Elder,FWD,14,0.22,0.380337677,0.185112832
Glen Elder,FWD,14,0.24,0.386700806,0.162204275
Glen Elder,FWD,14,0.26,0.391702202,0.142443364
Glen Elder,FWD,14,0.28,0.395596189,0.125331105
Glen Elder,FWD,14,0.3,0.398585076,0.110459027
Glen Elder,FWD,14,0.32,0.400830996,0.097490919
Glen Elder,FWD,14,0.34,0.402464793,0.086148548
Glen Elder,FWD,14,0.36,0.40359275,0.076200436
Glen Elder,FWD,14,0.38,0.404301709,0.067453008
Glen Elder,FWD,14,0.4,0.404663015,0.059743581
Glen Elder,FWD,14,0.42,0.404735564,0.052934782
Glen Elder,FWD,14,0.44,0.404568193,0.046910083
Glen Elder,FWD,14,0.46,0.40420155,0.041570208
Glen Elder,FWD,14,0.48,0.403669593,0.036830232
Glen Elder,FWD,14,0.5,0.403000775,0.032617228
Glen Elder,FWD,18,0.02,0.068335359,0.890050813
Glen Elder,FWD,18,0.04,0.123671555,0.796885183
Glen Elder,FWD,18,0.06,0.168812275,0.717535054
Glen Elder,FWD,18,0.08,0.205919462,0.649593196
Glen Elder,FWD,18,0.1,0.236662874,0.591104706
Glen Elder,FWD,18,0.12,0.262335056,0.540479437
Glen Elder,FWD,18,0.14,0.283939522,0.496421416
Glen Elder,FWD,18,0.16,0.302258268,0.457872008
Glen Elder,FWD,18,0.18,0.317903356,0.423964185
Glen Elder,FWD,18,0.2,0.331356302,0.393985753
Glen Elder,FWD,18,0.22,0.342998103,0.367349796
Glen Elder,FWD,18,0.24,0.353132139,0.343570925
Glen Elder,FWD,18,0.26,0.362001625,0.322246188
Glen Elder,FWD,18,0.28,0.369802941,0.303039723
Glen Elder,FWD,18,0.3,0.376695817,0.285670405
Glen Elder,FWD,18,0.32,0.382811138,0.269901901
Glen Elder,FWD,18,0.34,0.388256939,0.25553465
Glen Elder,FWD,18,0.36,0.393123034,0.242399378
Glen Elder,FWD,18,0.38,0.397484606,0.230351858
Glen Elder,FWD,18,0.4,0.401405001,0.219268648
Glen Elder,FWD,18,0.42,0.40493792,0.209043628
Glen Elder,FWD,18,0.44,0.408129149,0.199585179
Glen Elder,FWD,18,0.46,0.411017935,0.190813862
Glen Elder,FWD,18,0.48,0.413638087,0.182660522
Glen Elder,FWD,18,0.5,0.416018862,0.175064719
Tuttle Creek,FWD,8,0.02,0.069560772,0.825313532
Tuttle Creek,FWD,8,0.04,0.122891904,0.683417406
Tuttle Creek,FWD,8,0.06,0.163766572,0.567621232
Tuttle Creek,FWD,8,0.08,0.195020758,0.472702346
Tuttle Creek,FWD,8,0.1,0.218799017,0.394567268
Tuttle Creek,FWD,8,0.12,0.236733704,0.329993424
Tuttle Creek,FWD,8,0.14,0.250075899,0.276431927
Tuttle Creek,FWD,8,0.16,0.259791273,0.2318568
Tuttle Creek,FWD,8,0.18,0.266630519,0.194649493
Tuttle Creek,FWD,8,0.2,0.271181306,0.163510236
Tuttle Creek,FWD,8,0.22,0.273906792,0.137389815
Tuttle Creek,FWD,8,0.24,0.275174339,0.115436893
Tuttle Creek,FWD,8,0.26,0.275277052,0.096957192
Tuttle Creek,FWD,8,0.28,0.274450056,0.081381742
Tuttle Creek,FWD,8,0.3,0.272882874,0.068242067
Tuttle Creek,FWD,8,0.32,0.270728926,0.057150715
Tuttle Creek,FWD,8,0.34,0.268112857,0.04778589
Tuttle Creek,FWD,8,0.36,0.265136245,0.039879277
Tuttle Creek,FWD,8,0.38,0.261882072,0.03320634
Tuttle Creek,FWD,8,0.4,0.258418257,0.027578543
Tuttle Creek,FWD,8,0.42,0.254800461,0.022837095
Tuttle Creek,FWD,8,0.44,0.251074324,0.018847885
Tuttle Creek,FWD,8,0.46,0.247277273,0.015497363
Tuttle Creek,FWD,8,0.48,0.243439972,0.012689172
Tuttle Creek,FWD,8,0.5,0.239587512,0.01034139
Tuttle Creek,FWD,14,0.02,0.060367784,0.867835638
Tuttle Creek,FWD,14,0.04,0.109612251,0.756568257
Tuttle Creek,FWD,14,0.06,0.150052262,0.662388619
Tuttle Creek,FWD,14,0.08,0.183474758,0.582247831
Tuttle Creek,FWD,14,0.1,0.211263769,0.513697834
Tuttle Creek,FWD,14,0.12,0.234497362,0.454766054
Tuttle Creek,FWD,14,0.14,0.254020517,0.4038569
Tuttle Creek,FWD,14,0.16,0.270499935,0.359674329
Tuttle Creek,FWD,14,0.18,0.284465326,0.321160946
Tuttle Creek,FWD,14,0.2,0.296340583,0.287450049
Tuttle Creek,FWD,14,0.22,0.306467368,0.257827824
Tuttle Creek,FWD,14,0.24,0.315123045,0.231703487
Tuttle Creek,FWD,14,0.26,0.322534353,0.208585647
Tuttle Creek,FWD,14,0.28,0.328887901,0.188063554
Tuttle Creek,FWD,14,0.3,0.334338252,0.169792176
Tuttle Creek,FWD,14,0.32,0.339014204,0.153480282
Tuttle Creek,FWD,14,0.34,0.343023692,0.138880893
Tuttle Creek,FWD,14,0.36,0.346457645,0.125783606
Tuttle Creek,FWD,14,0.38,0.349393041,0.114008386
Tuttle Creek,FWD,14,0.4,0.351895338,0.103400537
Tuttle Creek,FWD,14,0.42,0.354020437,0.093826597
Tuttle Creek,FWD,14,0.44,0.355816258,0.085170991
Tuttle Creek,FWD,14,0.46,0.357324028,0.077333259
Tuttle Creek,FWD,14,0.48,0.358579333,0.070225788
Tuttle Creek,FWD,14,0.5,0.359612988,0.063771911
Tuttle Creek,FWD,18,0.02,0.032903255,0.93462081
Tuttle Creek,FWD,18,0.04,0.061611931,0.876273985
Tuttle Creek,FWD,18,0.06,0.086790518,0.824020102
Tuttle Creek,FWD,18,0.08,0.108986712,0.777058095
Tuttle Creek,FWD,18,0.1,0.128652788,0.734704088
Tuttle Creek,FWD,18,0.12,0.146163048,0.696373469
Tuttle Creek,FWD,18,0.14,0.161828059,0.661565733
Tuttle Creek,FWD,18,0.16,0.175906244,0.629851669
Tuttle Creek,FWD,18,0.18,0.188613332,0.600862529
Tuttle Creek,FWD,18,0.2,0.200130041,0.574280875
Tuttle Creek,FWD,18,0.22,0.210608338,0.549832859
Tuttle Creek,FWD,18,0.24,0.220176523,0.52728169
Tuttle Creek,FWD,18,0.26,0.228943377,0.506422131
Tuttle Creek,FWD,18,0.28,0.237001534,0.487075836
Tuttle Creek,FWD,18,0.3,0.244430231,0.469087424
Tuttle Creek,FWD,18,0.32,0.251297553,0.452321151
Tuttle Creek,FWD,18,0.34,0.257662267,0.436658098
Tuttle Creek,FWD,18,0.36,0.263575325,0.421993789
Tuttle Creek,FWD,18,0.38,0.269081101,0.408236179
Tuttle Creek,FWD,18,0.4,0.2742184,0.395303936
Tuttle Creek,FWD,18,0.42,0.2790213,0.38312499
Tuttle Creek,FWD,18,0.44,0.28351985,0.371635298
Tuttle Creek,FWD,18,0.46,0.287740641,0.360777787
Tuttle Creek,FWD,18,0.48,0.291707291,0.350501459
Tuttle Creek,FWD,18,0.5,0.29544085,0.340760615
